air_store_id,visit_date,visitors
air_ba937bf13d40fb24,2016-01-13,25
air_ba937bf13d40fb24,2016-01-14,32
air_ba937bf13d40fb24,2016-01-15,29
air_ba937bf13d40fb24,2016-01-16,22
air_ba937bf13d40fb24,2016-01-18,6
air_ba937bf13d40fb24,2016-01-19,9
air_ba937bf13d40fb24,2016-01-20,31
air_ba937bf13d40fb24,2016-01-21,21
air_ba937bf13d40fb24,2016-01-22,18
air_ba937bf13d40fb24,2016-01-23,26
air_ba937bf13d40fb24,2016-01-25,21
air_ba937bf13d40fb24,2016-01-26,11
air_ba937bf13d40fb24,2016-01-27,24
air_ba937bf13d40fb24,2016-01-28,21
air_ba937bf13d40fb24,2016-01-29,26
air_ba937bf13d40fb24,2016-01-30,6
air_ba937bf13d40fb24,2016-02-03,18
air_ba937bf13d40fb24,2016-02-04,12
air_ba937bf13d40fb24,2016-02-05,45
air_ba937bf13d40fb24,2016-02-06,15
air_ba937bf13d40fb24,2016-02-08,19
air_ba937bf13d40fb24,2016-02-09,15
air_ba937bf13d40fb24,2016-02-10,32
air_ba937bf13d40fb24,2016-02-11,3
air_ba937bf13d40fb24,2016-02-12,26
air_ba937bf13d40fb24,2016-02-13,8
air_ba937bf13d40fb24,2016-02-15,14
air_ba937bf13d40fb24,2016-02-16,15
air_ba937bf13d40fb24,2016-02-17,17
air_ba937bf13d40fb24,2016-02-18,22
air_ba937bf13d40fb24,2016-02-19,43
air_ba937bf13d40fb24,2016-02-20,20
air_ba937bf13d40fb24,2016-02-22,7
air_ba937bf13d40fb24,2016-02-23,16
air_ba937bf13d40fb24,2016-02-24,21
air_ba937bf13d40fb24,2016-02-25,21
air_ba937bf13d40fb24,2016-02-26,32
air_ba937bf13d40fb24,2016-02-27,23
air_ba937bf13d40fb24,2016-02-29,22
air_ba937bf13d40fb24,2016-03-01,19
air_ba937bf13d40fb24,2016-03-02,21
air_ba937bf13d40fb24,2016-03-03,20
air_ba937bf13d40fb24,2016-03-04,37
air_ba937bf13d40fb24,2016-03-05,13
air_ba937bf13d40fb24,2016-03-07,11
air_ba937bf13d40fb24,2016-03-08,8
air_ba937bf13d40fb24,2016-03-09,23
air_ba937bf13d40fb24,2016-03-10,31
air_ba937bf13d40fb24,2016-03-11,37
air_ba937bf13d40fb24,2016-03-12,25
air_ba937bf13d40fb24,2016-03-14,10
air_ba937bf13d40fb24,2016-03-15,20
air_ba937bf13d40fb24,2016-03-16,25
air_ba937bf13d40fb24,2016-03-17,27
air_ba937bf13d40fb24,2016-03-18,39
air_ba937bf13d40fb24,2016-03-19,32
air_ba937bf13d40fb24,2016-03-22,17
air_ba937bf13d40fb24,2016-03-23,29
air_ba937bf13d40fb24,2016-03-24,25
air_ba937bf13d40fb24,2016-03-25,30
air_ba937bf13d40fb24,2016-03-26,41
air_ba937bf13d40fb24,2016-03-27,1
air_ba937bf13d40fb24,2016-03-28,7
air_ba937bf13d40fb24,2016-03-29,19
air_ba937bf13d40fb24,2016-03-30,25
air_ba937bf13d40fb24,2016-03-31,44
air_ba937bf13d40fb24,2016-04-01,36
air_ba937bf13d40fb24,2016-04-02,16
air_ba937bf13d40fb24,2016-04-04,20
air_ba937bf13d40fb24,2016-04-05,22
air_ba937bf13d40fb24,2016-04-06,13
air_ba937bf13d40fb24,2016-04-07,12
air_ba937bf13d40fb24,2016-04-08,49
air_ba937bf13d40fb24,2016-04-09,19
air_ba937bf13d40fb24,2016-04-11,10
air_ba937bf13d40fb24,2016-04-12,22
air_ba937bf13d40fb24,2016-04-13,30
air_ba937bf13d40fb24,2016-04-14,24
air_ba937bf13d40fb24,2016-04-15,51
air_ba937bf13d40fb24,2016-04-16,35
air_ba937bf13d40fb24,2016-04-18,21
air_ba937bf13d40fb24,2016-04-19,23
air_ba937bf13d40fb24,2016-04-20,33
air_ba937bf13d40fb24,2016-04-21,11
air_ba937bf13d40fb24,2016-04-22,40
air_ba937bf13d40fb24,2016-04-23,28
air_ba937bf13d40fb24,2016-04-25,29
air_ba937bf13d40fb24,2016-04-26,19
air_ba937bf13d40fb24,2016-04-27,9
air_ba937bf13d40fb24,2016-04-28,26
air_ba937bf13d40fb24,2016-04-30,12
air_ba937bf13d40fb24,2016-05-02,34
air_ba937bf13d40fb24,2016-05-06,17
air_ba937bf13d40fb24,2016-05-07,46
air_ba937bf13d40fb24,2016-05-09,12
air_ba937bf13d40fb24,2016-05-10,14
air_ba937bf13d40fb24,2016-05-11,24
air_ba937bf13d40fb24,2016-05-12,30
air_ba937bf13d40fb24,2016-05-13,45
air_ba937bf13d40fb24,2016-05-14,48
air_ba937bf13d40fb24,2016-05-16,11
air_ba937bf13d40fb24,2016-05-17,20
air_ba937bf13d40fb24,2016-05-18,37
air_ba937bf13d40fb24,2016-05-19,23
air_ba937bf13d40fb24,2016-05-20,54
air_ba937bf13d40fb24,2016-05-21,43
air_ba937bf13d40fb24,2016-05-23,11
air_ba937bf13d40fb24,2016-05-24,28
air_ba937bf13d40fb24,2016-05-25,33
air_ba937bf13d40fb24,2016-05-26,26
air_ba937bf13d40fb24,2016-05-27,30
air_ba937bf13d40fb24,2016-05-28,27
air_ba937bf13d40fb24,2016-05-30,17
air_ba937bf13d40fb24,2016-05-31,25
air_ba937bf13d40fb24,2016-06-01,27
air_ba937bf13d40fb24,2016-06-02,27
air_ba937bf13d40fb24,2016-06-03,50
air_ba937bf13d40fb24,2016-06-04,33
air_ba937bf13d40fb24,2016-06-06,10
air_ba937bf13d40fb24,2016-06-07,20
air_ba937bf13d40fb24,2016-06-08,35
air_ba937bf13d40fb24,2016-06-09,27
air_ba937bf13d40fb24,2016-06-10,43
air_ba937bf13d40fb24,2016-06-11,53
air_ba937bf13d40fb24,2016-06-13,16
air_ba937bf13d40fb24,2016-06-14,25
air_ba937bf13d40fb24,2016-06-15,32
air_ba937bf13d40fb24,2016-06-16,24
air_ba937bf13d40fb24,2016-06-17,46
air_ba937bf13d40fb24,2016-06-18,34
air_ba937bf13d40fb24,2016-06-20,11
air_ba937bf13d40fb24,2016-06-21,22
air_ba937bf13d40fb24,2016-06-22,14
air_ba937bf13d40fb24,2016-06-23,45
air_ba937bf13d40fb24,2016-06-24,39
air_ba937bf13d40fb24,2016-06-25,44
air_ba937bf13d40fb24,2016-06-27,32
air_ba937bf13d40fb24,2016-06-28,26
air_ba937bf13d40fb24,2016-06-29,33
air_ba937bf13d40fb24,2016-06-30,33
air_ba937bf13d40fb24,2016-07-01,61
air_ba937bf13d40fb24,2016-07-02,25
air_ba937bf13d40fb24,2016-07-04,21
air_ba937bf13d40fb24,2016-07-05,24
air_ba937bf13d40fb24,2016-07-06,19
air_ba937bf13d40fb24,2016-07-07,22
air_ba937bf13d40fb24,2016-07-08,29
air_ba937bf13d40fb24,2016-07-09,33
air_ba937bf13d40fb24,2016-07-11,20
air_ba937bf13d40fb24,2016-07-12,28
air_ba937bf13d40fb24,2016-07-13,25
air_ba937bf13d40fb24,2016-07-14,22
air_ba937bf13d40fb24,2016-07-15,51
air_ba937bf13d40fb24,2016-07-16,28
air_ba937bf13d40fb24,2016-07-19,16
air_ba937bf13d40fb24,2016-07-20,45
air_ba937bf13d40fb24,2016-07-21,26
air_ba937bf13d40fb24,2016-07-22,47
air_ba937bf13d40fb24,2016-07-23,24
air_ba937bf13d40fb24,2016-07-25,9
air_ba937bf13d40fb24,2016-07-26,23
air_ba937bf13d40fb24,2016-07-27,26
air_ba937bf13d40fb24,2016-07-28,26
air_ba937bf13d40fb24,2016-07-29,33
air_ba937bf13d40fb24,2016-07-30,21
air_ba937bf13d40fb24,2016-08-01,13
air_ba937bf13d40fb24,2016-08-02,12
air_ba937bf13d40fb24,2016-08-03,27
air_ba937bf13d40fb24,2016-08-04,24
air_ba937bf13d40fb24,2016-08-05,38
air_ba937bf13d40fb24,2016-08-06,27
air_ba937bf13d40fb24,2016-08-08,23
air_ba937bf13d40fb24,2016-08-09,22
air_ba937bf13d40fb24,2016-08-10,57
air_ba937bf13d40fb24,2016-08-11,2
air_ba937bf13d40fb24,2016-08-12,18
air_ba937bf13d40fb24,2016-08-13,21
air_ba937bf13d40fb24,2016-08-19,35
air_ba937bf13d40fb24,2016-08-20,18
air_ba937bf13d40fb24,2016-08-22,15
air_ba937bf13d40fb24,2016-08-23,34
air_ba937bf13d40fb24,2016-08-24,27
air_ba937bf13d40fb24,2016-08-25,31
air_ba937bf13d40fb24,2016-08-26,31
air_ba937bf13d40fb24,2016-08-27,28
air_ba937bf13d40fb24,2016-08-29,10
air_ba937bf13d40fb24,2016-08-30,21
air_ba937bf13d40fb24,2016-08-31,36
air_ba937bf13d40fb24,2016-09-01,20
air_ba937bf13d40fb24,2016-09-02,30
air_ba937bf13d40fb24,2016-09-03,39
air_ba937bf13d40fb24,2016-09-05,4
air_ba937bf13d40fb24,2016-09-06,32
air_ba937bf13d40fb24,2016-09-07,20
air_ba937bf13d40fb24,2016-09-08,15
air_ba937bf13d40fb24,2016-09-09,29
air_ba937bf13d40fb24,2016-09-10,40
air_ba937bf13d40fb24,2016-09-12,23
air_ba937bf13d40fb24,2016-09-13,18
air_ba937bf13d40fb24,2016-09-14,40
air_ba937bf13d40fb24,2016-09-15,14
air_ba937bf13d40fb24,2016-09-16,46
air_ba937bf13d40fb24,2016-09-17,46
air_ba937bf13d40fb24,2016-09-20,13
air_ba937bf13d40fb24,2016-09-21,37
air_ba937bf13d40fb24,2016-09-22,21
air_ba937bf13d40fb24,2016-09-23,27
air_ba937bf13d40fb24,2016-09-24,32
air_ba937bf13d40fb24,2016-09-26,24
air_ba937bf13d40fb24,2016-09-27,28
air_ba937bf13d40fb24,2016-09-28,25
air_ba937bf13d40fb24,2016-09-29,14
air_ba937bf13d40fb24,2016-09-30,29
air_ba937bf13d40fb24,2016-10-01,48
air_ba937bf13d40fb24,2016-10-02,6
air_ba937bf13d40fb24,2016-10-03,15
air_ba937bf13d40fb24,2016-10-04,20
air_ba937bf13d40fb24,2016-10-05,13
air_ba937bf13d40fb24,2016-10-06,11
air_ba937bf13d40fb24,2016-10-07,36
air_ba937bf13d40fb24,2016-10-08,26
air_ba937bf13d40fb24,2016-10-11,19
air_ba937bf13d40fb24,2016-10-12,26
air_ba937bf13d40fb24,2016-10-13,27
air_ba937bf13d40fb24,2016-10-14,22
air_ba937bf13d40fb24,2016-10-15,14
air_ba937bf13d40fb24,2016-10-17,20
air_ba937bf13d40fb24,2016-10-18,18
air_ba937bf13d40fb24,2016-10-19,29
air_ba937bf13d40fb24,2016-10-20,26
air_ba937bf13d40fb24,2016-10-21,37
air_ba937bf13d40fb24,2016-10-22,41
air_ba937bf13d40fb24,2016-10-24,18
air_ba937bf13d40fb24,2016-10-25,16
air_ba937bf13d40fb24,2016-10-26,15
air_ba937bf13d40fb24,2016-10-27,21
air_ba937bf13d40fb24,2016-10-28,25
air_ba937bf13d40fb24,2016-10-29,34
air_ba937bf13d40fb24,2016-10-31,24
air_ba937bf13d40fb24,2016-11-01,18
air_ba937bf13d40fb24,2016-11-02,16
air_ba937bf13d40fb24,2016-11-03,12
air_ba937bf13d40fb24,2016-11-04,18
air_ba937bf13d40fb24,2016-11-05,20
air_ba937bf13d40fb24,2016-11-06,3
air_ba937bf13d40fb24,2016-11-07,7
air_ba937bf13d40fb24,2016-11-08,24
